epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,43.5827,0.18536,4.05967,0.78843,0,0,0,0,0.82285,6.20937,1.02094,3.89259e-05,3.89259e-05,3.89259e-05
47,44.4854,0.64499,4.40862,0.86545,0,0,0,0,0.82425,6.19118,1.02136,3.90805e-05,3.90805e-05,3.90805e-05
48,45.3898,0.36746,4.09307,0.88026,0,0,0,0,0.82425,6.19118,1.02136,3.92042e-05,3.92042e-05,3.92042e-05
49,46.4022,0.86202,4.50715,1.31553,0,0,0,0,0.81842,6.18194,1.02739,3.9297e-05,3.9297e-05,3.9297e-05
50,47.3441,0.55722,4.92242,0.84726,0,0,0,0,0.81842,6.18194,1.02739,3.9359e-05,3.9359e-05,3.9359e-05
51,48.2545,1.58755,5.25935,2.04107,0,0,0,0,0.81297,6.18447,1.02742,3.939e-05,3.939e-05,3.939e-05
52,49.1791,0.47353,4.29576,0.9809,0,0,0,0,0.81297,6.18447,1.02742,3.93902e-05,3.93902e-05,3.93902e-05
53,50.0695,0.42505,4.47027,0.66926,0,0,0,0,0.81297,6.18447,1.02742,3.93594e-05,3.93594e-05,3.93594e-05
54,50.9073,0.86538,4.73672,1.15061,0,0,0,0,0.79151,6.20902,1.02582,3.92978e-05,3.92978e-05,3.92978e-05
55,51.7751,0.53708,3.89017,0.9965,0,0,0,0,0.79151,6.20902,1.02582,3.92053e-05,3.92053e-05,3.92053e-05
56,52.5808,0.81079,4.37296,1.15429,0,0,0,0,0.79151,6.20902,1.02582,3.90819e-05,3.90819e-05,3.90819e-05
57,53.5234,0.46027,5.34308,1.05089,0,0,0,0,0.78253,6.21541,1.02836,3.89276e-05,3.89276e-05,3.89276e-05
58,54.327,0.81672,4.24368,1.08297,0,0,0,0,0.78253,6.21541,1.02836,3.87424e-05,3.87424e-05,3.87424e-05
59,55.1342,0.42592,3.56802,0.80234,0,0,0,0,0.78253,6.21541,1.02836,3.85264e-05,3.85264e-05,3.85264e-05
60,56.0383,0.25612,3.90939,0.60724,0,0,0,0,0.77816,6.22437,1.02806,3.82794e-05,3.82794e-05,3.82794e-05
61,56.9702,0.49401,3.62976,1.01582,0,0,0,0,0.77816,6.22437,1.02806,3.80016e-05,3.80016e-05,3.80016e-05
62,57.7925,0.48255,3.96794,0.99775,0,0,0,0,0.77816,6.22437,1.02806,3.76929e-05,3.76929e-05,3.76929e-05
63,58.6555,0.59849,4.70488,1.1427,0,0,0,0,0.77971,6.21367,1.03031,3.73533e-05,3.73533e-05,3.73533e-05
64,59.4854,0.7788,4.00774,1.10719,0,0,0,0,0.77971,6.21367,1.03031,3.69828e-05,3.69828e-05,3.69828e-05
65,60.3345,0.85923,4.05498,1.20666,0,0,0,0,0.77971,6.21367,1.03031,3.65814e-05,3.65814e-05,3.65814e-05
66,61.2338,0.89339,4.14526,1.17198,0,0,0,0,0.79652,6.20443,1.03433,3.61491e-05,3.61491e-05,3.61491e-05
67,62.1166,0.67232,4.1841,1.63563,0,0,0,0,0.79652,6.20443,1.03433,3.56859e-05,3.56859e-05,3.56859e-05
68,62.9804,0.24798,3.23435,0.87118,0,0,0,0,0.79652,6.20443,1.03433,3.51919e-05,3.51919e-05,3.51919e-05
69,63.9111,0.29237,3.28178,0.90249,0,0,0,0,0.79409,6.19511,1.03343,3.46669e-05,3.46669e-05,3.46669e-05
70,64.8054,0.79812,4.15129,1.11352,0,0,0,0,0.79409,6.19511,1.03343,3.41111e-05,3.41111e-05,3.41111e-05
71,65.6875,0.19928,3.63757,0.84888,0,0,0,0,0.79409,6.19511,1.03343,3.35244e-05,3.35244e-05,3.35244e-05
72,66.5613,0.22017,3.29245,0.75046,0,0,0,0,0.77388,6.22983,1.02579,3.29068e-05,3.29068e-05,3.29068e-05
73,67.3872,0.56533,3.16109,0.85794,0,0,0,0,0.77388,6.22983,1.02579,3.22583e-05,3.22583e-05,3.22583e-05
74,68.2453,0.85118,5.37726,1.58509,0,0,0,0,0.77388,6.22983,1.02579,3.15789e-05,3.15789e-05,3.15789e-05
75,69.1244,0.15667,3.03107,0.71385,0,0,0,0,0.78185,6.22013,1.02399,3.08687e-05,3.08687e-05,3.08687e-05
76,70.0086,0.89027,3.92114,1.11603,0,0,0,0,0.78185,6.22013,1.02399,3.01275e-05,3.01275e-05,3.01275e-05
77,70.8831,0.46599,2.80264,0.91489,0,0,0,0,0.78185,6.22013,1.02399,2.93555e-05,2.93555e-05,2.93555e-05
78,71.7757,0.7376,4.35859,1.06466,0,0,0,0,0.8001,6.22533,1.02512,2.85525e-05,2.85525e-05,2.85525e-05
79,72.6675,0.88546,3.59978,1.12871,0,0,0,0,0.8001,6.22533,1.02512,2.77187e-05,2.77187e-05,2.77187e-05
80,73.517,0.81747,2.92251,0.67143,0,0,0,0,0.8001,6.22533,1.02512,2.6854e-05,2.6854e-05,2.6854e-05
81,74.4127,0.83494,4.22291,1.2008,0,0,0,0,0.7836,6.2391,1.02073,2.59584e-05,2.59584e-05,2.59584e-05
82,75.3139,1.17758,4.06545,1.07979,0,0,0,0,0.7836,6.2391,1.02073,2.50319e-05,2.50319e-05,2.50319e-05
83,76.1385,0.50038,2.69096,0.91055,0,0,0,0,0.7836,6.2391,1.02073,2.40745e-05,2.40745e-05,2.40745e-05
84,77.0092,0.15808,3.08818,0.85418,0,0,0,0,0.81629,6.22207,1.02899,2.30863e-05,2.30863e-05,2.30863e-05
85,77.997,0.43992,2.31034,0.81049,0,0,0,0,0.81629,6.22207,1.02899,2.20671e-05,2.20671e-05,2.20671e-05
86,78.9669,0.73271,3.71597,1.36566,0,0,0,0,0.81629,6.22207,1.02899,2.10171e-05,2.10171e-05,2.10171e-05
87,79.7803,0.42402,3.50288,0.7732,0,0,0,0,0.81629,6.22207,1.02899,1.99362e-05,1.99362e-05,1.99362e-05
88,80.6391,0.59037,3.13356,1.05562,0,0,0,0,0.81728,6.23362,1.0248,1.88244e-05,1.88244e-05,1.88244e-05
89,81.5739,0.88103,3.78389,1.19747,0,0,0,0,0.81728,6.23362,1.0248,1.76817e-05,1.76817e-05,1.76817e-05
90,82.4737,0.63282,3.14239,1.02411,0,0,0,0,0.81728,6.23362,1.0248,1.65081e-05,1.65081e-05,1.65081e-05
91,83.3869,0.25779,3.15831,0.90564,0,0,0,0,0.81728,6.23362,1.0248,1.53036e-05,1.53036e-05,1.53036e-05
92,84.3353,0.28132,3.41952,0.6889,0,0,0,0,0.7852,6.25623,1.01589,1.40682e-05,1.40682e-05,1.40682e-05
93,85.2183,0.32744,2.32272,0.84921,0,0,0,0,0.7852,6.25623,1.01589,1.2802e-05,1.2802e-05,1.2802e-05
94,86.1863,0.40287,3.35079,0.71389,0,0,0,0,0.7852,6.25623,1.01589,1.15048e-05,1.15048e-05,1.15048e-05
95,87.0965,0.37514,3.44363,0.75721,0,0,0,0,0.7852,6.25623,1.01589,1.01768e-05,1.01768e-05,1.01768e-05
96,88.0271,0.25682,2.60446,0.75251,0,0,0,0,0.79252,6.24977,1.00997,8.8179e-06,8.8179e-06,8.8179e-06
97,89.0206,0.71822,3.38056,0.88134,0,0,0,0,0.79252,6.24977,1.00997,7.4281e-06,7.4281e-06,7.4281e-06
98,89.9891,0.57342,3.28146,0.86157,0,0,0,0,0.79252,6.24977,1.00997,6.0074e-06,6.0074e-06,6.0074e-06
99,90.8853,0.67941,3.83314,0.97423,0,0,0,0,0.79252,6.24977,1.00997,4.55582e-06,4.55582e-06,4.55582e-06
100,91.8737,0.26769,3.99764,0.81572,0,0,0,0,0.76105,6.30048,0.99547,3.07336e-06,3.07336e-06,3.07336e-06
